Date / Time	City	State	Shape	Duration	Summary	Posted
10/27/14 18:50	South Kingstown	RI	Fireball	5-10 minutes	Fireball going across the sky when trying to watch the initial Antares launch on 10/27/14	11/6/14
10/25/14 1:25	Pawtucket/Rumford	RI	Diamond	~60 minutes	Diamond shapes in the sky. Moving side to side. Blinking/flashing at each other. Almost dancing with each other. Zig zagging across the	11/6/14
10/21/14 23:30	Pawtucket	RI	Unknown	2 minutes	Bright orange/red light filling room.	11/6/14
10/14/14 22:30	Hope	RI	Light	6 minutes	Bright red stationary light, low in sky, never moves and inch, then disappears.	11/6/14
10/9/14 22:00	Kingston	RI	Fireball	1/2 hour	Fireballs all moving same direction.	10/10/14
9/27/14 21:00	Providence	RI	Fireball	3-5 minutes	While walking in Providence, husband and wife and others view 3 orange orbs in the night sky	10/3/14
8/26/14 5:00	Warwick	RI	Cylinder	3 minutes	A very large circle of light. which dissipated.	8/31/14
8/23/14 21:25	South Kingston	RI	Fireball	2 minutes	Two fireballs traveling together.	8/29/14
8/18/14 22:30	Narragansett	RI	Fireball	10 minutes	Orange flaming orb flying over Narragansett, RI, beach.	8/22/14
8/17/14 10:21	Johnston	RI	Oval	1 minute	Oval shaped craft with three big round bright lights!!	8/22/14
8/4/14 21:00	Jamestown	RI	Light	3-5 minutes	Two red/orange plasma shapes, soundless, close range for 3 minu by two witnesses one following the other by about 60 secs then vanished	8/6/15
7/28/14 22:00	Johnston	RI	Light	7 minutes	Red sphere in sky.	8/1/14
7/26/14 21:10	Middletown	RI	Light	5 minutes	Two yellowish-orange lights flying in the sky and then vanished.	8/1/14
7/24/14 18:30	East Greenwich	RI	Oval	10 minutes	An unidententifiable vehicle at significant speed.	7/26/14
7/12/14 22:30	Warwick	RI	Circle	1 minute	10 objects moving in formation.	7/20/14
7/7/14 13:00	Westerly	RI	Egg	30-45 seconds	Dark cloud followed by 5-6 chrome egg shaped crafts	3/6/15
7/6/14 22:15	Johnston	RI	Sphere	3 minutes	Thee Orange Redished Spheres appeared from behind a row of pine trees.	7/11/14
7/5/14 21:00	Bristol	RI	Light	hour	Light flying across sky.	7/11/14
6/21/14 20:03	Woonsocket	RI	Sphere	1 1/2	2 Orange balls that have came out of cloud and moved west slilently...Second time I seen,1 in front of me,above a home.	6/24/14
6/7/14 21:00	Pawtucket (Central Falls)	RI	Triangle	3 hours	Seen at least 10 have a lot of pictures and videos it started at 9pm it's 11pm and still going a triangle shape Turning red and white a	6/13/14
6/6/14 23:00	Providence	RI	Triangle	3-4 minutes	Objects flying over Providence, RI.	6/13/14
6/6/14 22:30	Providence	RI	Circle	10 minutes	Circular lights moving quickly and low in sky.	6/13/14
6/3/14 0:33	East Providence	RI	Light	5 seconds	A light went in a "Z" pattern and disappeared.	6/4/14
5/19/14 8:30	Middletown	RI	Circle	5 minutes	Orange fireball flying at the speed of a low-flying plane heading south seen out my bedroom window by my son and I	6/4/14
4/24/14 10:00	Warren	RI	Cigar	3 minutes	I was driving N into Warren in the mid-morning, and I saw 3 cigar shape crafts, with no wings. 2 ships heading East.	5/2/14
3/20/14 19:45	Harrisville	RI	Triangle	3	Saw a triangle shaped object with lights that didn't move, then abruptly took off.	3/21/14
3/18/14 23:00	Providence/Johnston (between; traveling)	RI	Sphere	Unknown, seemed to stay	Large, red and spherical object "hiding" behind the moon at night.	3/21/14
2/1/14 15:25	South Kingstown	RI	Triangle	3 minutes	While out in my backyard with my dogs at above time I hear the unmistakeable 'jet-like' roar..EXTREMELY loud sound..of craft that have	2/7/14
1/30/14 17:30	West Greenwich	RI	Circle	1 minute	Two hovering black disk's, no lights. Seen by 2 people and photographed	2/7/14
1/18/14 23:00	Pawtucket	RI	Triangle	3 minutes	Saw a triangle ufo hovering over the the street. Started to come straight towards us and then took a sharp turn to the right and flew a	1/24/14
1/5/14 18:45	East Providence	RI	Light	10 minutes	Orange lights formation speed fast low multiple ufo.	1/10/14
12/28/13 13:00	Providence	RI	Teardrop	15 minutes	White bright streak like teardrop shape in clear blue sky.	1/10/14
12/25/13 20:15	Woonsocket	RI	Fireball	3mins	3 orange fireballs.	1/10/14
12/24/13 17:45	Providence & Cranston	RI	Fireball	5 minutes	Fireball-like lights on Christmas Eve.	1/24/14
11/29/13 20:00	Coventry	RI	Sphere	1-1.5 seconds	Bright white light travels across the night sky and vanishes.	12/2/13
11/29/13 8:07	North Providence	RI	Fireball	4 seconds	Bright, white, low object split second gone.	12/2/13
11/24/13 19:00	North Providence	RI	Light	2.5 hours	Read above. ((NUFORC Note: We wonder whether the object might have been in the SW sky, therefore, Venus. PD))	12/2/13
11/23/13 17:30	Coventry	RI	Other	days	A light over Rhode Island for more than 10 days. ((NUFORC Note: If the time is p.m., we suspect Venus. PD))	12/2/13
11/16/13 18:30	Jamestown	RI	Fireball	8 minutes	When outside with our dog around 6:30 pm on Sat., Nov. 16th, I spotted a bright white orange light pulsating somewhat coming above the	11/20/13
11/10/13 22:51	Providence	RI	Rectangle	1 minutes	Was coming home from a friends house and before my exit i saw an unidentified flying object. it started out right out front my windshie	11/11/13
11/2/13 22:30	Wakefield	RI	Fireball	5 minutes	Silent flaming ball moving around 50 knots at 1500 feet altitude. Dead calm wind. Could see flames dancing.	11/11/13
10/20/13 19:42	Woonsocket	RI	Triangle	5 minutes	A flashing triangular object hovering in sky with white beaming lights and body changing color.	10/23/13
10/9/13 20:00	Woonsocket	RI	Light	2 minutes	Bright light.	10/14/13
10/1/13 12:40	Lincoln	RI	Light	4 seconds	Two white dots crossing paths around Lincoln and Providence RI.	10/3/13
9/29/13 18:00	Johnston	RI	Disk	90 seconds	4 objects seen in upper atmosphere maneuvering at high speed then up out of sight!	9/30/13
9/25/13 3:39	Hopkinton	RI	Light	45+	I went to let my dogs out and have a smoke. The moon was bright, high above my yard and the sky was clear, I could see all of the stars	9/30/13
9/22/13 18:00	Warwick	RI	Circle	30 minutes	It looked like a star but moved in various directions.. that a plane could not do. we realized it was moving because it was between two	9/30/13
9/19/13 20:00	West Warwick	RI	Fireball	15 seconds	Bright orange fireball with 300 meter trail.	9/30/13
9/10/13 23:00	Warwick	RI	Formation	10 minutes	Silent orange lights in formation.	9/30/13
9/7/13 22:00	Coventry	RI	Circle	2 minutes	Driving on the road the car in front of me pulled to the sholder, I looked up to the sky to see 5 circular shaped lights in a crescent.	9/9/13
9/1/13 1:30	North Providence	RI	Disk	5 seconds	Bright greenish blue circular disc object moving over head leaving a white trail behind it.	9/9/13
8/17/13 9:30	Cranston	RI	Light	30 minutes	I pulled into work last night and realized my co worker, and a few people from the restaurant next to ours were staring at the sky. I g	8/30/13
8/16/13 20:15	Woonsocket	RI	Sphere	2 minutes	Orange orb moving in the sky silently.	3/6/15
8/3/13 22:40	Woonsocket	RI	Fireball	~3 minutes	A bright red circle/light/fireball in the sky that didn't blink and suddenly disappeared.	8/30/13
8/2/13 22:00	Charlestown	RI	Cylinder	30 seconds	White cylinder with orange flames hovering at rooftop height.	8/30/13
7/27/13 21:00	Pawtucket	RI	Circle	minutes	Round hovering objent with bright colored lights	8/30/13
7/26/13 20:00	Pawtucket	RI	Light	20 minutes	Light in sky above pawtucket ri	8/30/13
7/23/13 17:40	Providence	RI	Sphere	Unknown	UFO Stuck within a Storm Cloud	8/30/13
7/4/13 21:20	North Providence	RI	Fireball	5 minutes	Unknown red ball object in the sky near fireworks display.	4/3/15
7/4/13 20:00	North Providence	RI	Sphere	3 minutes	Red sphere at a Fireworks display in Rhode Island 2013	4/17/15
6/18/13 17:00	Woonsocket	RI	Diamond	1 minute	A UFO was sighted flying over a school in Woonsocket RI.	7/3/13
4/18/13 20:00	Exeter	RI	Diamond	30 seconds	Two diamond shaped objects flying just above tree line, odd movement and light color	5/15/13
3/30/13 20:20	North Kingstown	RI	Unknown	10 minutes	Two bright yellow/orange lights moving Northwest to Southeast over North Kingstown, RI	5/15/13
3/17/13 0:50	Cranston	RI		20 minutes	Light blue disk over Cranston RI for 20 minutes. ((NUFORC Note: Possible advertising lights?? PD))	5/15/13
3/9/13 19:30	Providence	RI	Other	20 seconds	Orangish glowing object soared at low altitude , followed by white shooting star streaking across sky for 3 seconds	5/15/13
3/3/13 21:00	Cranston	RI	Fireball	1 minute	Orange ball of light hovering at a low altitude in cranston, vanishes then reappears seconds later in diff location	4/12/13
2/5/13 7:30	Providence	RI	Cigar	3:00	Bright light cigar shape hovering and disappearing.	2/18/13
1/14/13 17:00	Pascoag	RI	Light	2 minutes	Glowing orange light larger than north star, located north, hovers and travels down past tree line.	10/3/13
12/13/12 17:00	North Providence	RI	Unknown	22:00	I Julian Smith witnessed and others mutiple ufos speeding faster then the fighter jet plans and all other objects near 100miles in eyes	12/20/12
12/13/12 8:18		RI	Light	12 minutes	6 fast crarft appear then fly out of view.	12/20/12
12/5/12 17:00	Westerly	RI	Fireball	1/2 second	Intense yellowish white fireball with greenish tint.	12/20/12
11/29/12 20:00	Richmond	RI	Chevron	30 seconds	Insanely large craft, wierd shape, purpleish blue, blue and white spotlights, very low over my car, flying slow.	12/20/12
11/29/12 16:25	Coventry	RI	Fireball	5 minutes	Fireball falling straight down.	12/20/12
